                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0845,                0.67161,                 1.0715,                0.74906,                0.75443,                0.77895,                0.41113,                  1.981,                 1.0426,                 1.5588,             0.00027451,             0.00027451,             0.00027451
                      1,                 1.0971,                0.67785,                 1.0637,                0.76234,                0.75526,                0.78095,                0.41143,                 1.9884,                  1.041,                 1.5642,             0.00054671,             0.00054671,             0.00054671
                      2,                   1.08,                0.66936,                 1.0686,                0.75753,                0.74775,                0.78037,                0.41033,                 1.9829,                 1.0434,                   1.56,             0.00081341,             0.00081341,             0.00081341
                      3,                 1.0763,                0.65963,                 1.0614,                0.75013,                0.75524,                0.77914,                0.41145,                 1.9822,                 1.0403,                 1.5594,             0.00080826,             0.00080826,             0.00080826
                      4,                  1.061,                0.65322,                 1.0595,                0.74756,                0.76331,                0.78037,                0.41047,                 1.9841,                 1.0469,                 1.5646,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.0806,                0.66633,                 1.0606,                0.74598,                0.76204,                0.77969,                0.41165,                 1.9823,                 1.0435,                 1.5607,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.0694,                0.65587,                 1.0584,                0.74632,                0.76335,                 0.7802,                0.41155,                 1.9829,                 1.0436,                 1.5612,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.0503,                0.64974,                 1.0523,                 0.7455,                0.76819,                0.78121,                0.41216,                 1.9802,                 1.0436,                 1.5575,             0.00078352,             0.00078352,             0.00078352
                      8,                 1.0641,                0.66463,                 1.0586,                0.74741,                0.75869,                0.77866,                0.40868,                 1.9812,                 1.0431,                 1.5575,             0.00077527,             0.00077527,             0.00077527
                      9,                 1.0669,                0.65597,                  1.055,                0.74414,                0.75802,                0.77829,                0.40707,                 1.9821,                 1.0444,                 1.5624,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.0826,                 0.6687,                 1.0669,                0.74456,                0.76158,                0.77876,                0.40981,                 1.9826,                  1.045,                 1.5592,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.0566,                0.65663,                 1.0518,                0.76389,                0.74872,                0.78047,                0.40942,                  1.984,                 1.0413,                 1.5628,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.0584,                0.66674,                 1.0561,                0.74355,                0.76087,                0.77822,                0.41021,                 1.9815,                 1.0434,                 1.5609,             0.00074229,             0.00074229,             0.00074229
                     13,                 1.0553,                0.64944,                 1.0564,                0.74122,                0.75141,                0.77841,                0.41162,                 1.9843,                 1.0457,                 1.5627,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.0778,                0.67004,                 1.0585,                0.77212,                0.75482,                0.78162,                0.41116,                 1.9831,                 1.0454,                 1.5619,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.0497,                0.65402,                 1.0536,                0.76149,                 0.7513,                0.77879,                0.40916,                 1.9834,                 1.0475,                 1.5618,             0.00071755,             0.00071755,             0.00071755
                     16,                 1.0534,                0.65357,                 1.0527,                0.75597,                0.75086,                0.78024,                0.41274,                 1.9859,                 1.0418,                 1.5635,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.0434,                0.64134,                 1.0431,                0.75012,                0.74354,                0.77967,                 0.4114,                 1.9834,                 1.0409,                 1.5612,             0.00070105,             0.00070105,             0.00070105
                     18,                 1.0433,                0.64558,                 1.0472,                0.75074,                0.75538,                0.77746,                0.40885,                 1.9835,                 1.0388,                 1.5602,             0.00069281,             0.00069281,             0.00069281
                     19,                 1.0624,                0.65444,                 1.0567,                0.74582,                0.75816,                 0.7791,                  0.408,                 1.9841,                 1.0408,                  1.561,             0.00068456,             0.00068456,             0.00068456
                     20,                 1.0492,                0.65532,                 1.0555,                0.75829,                0.75299,                0.77789,                0.41138,                 1.9841,                 1.0419,                 1.5618,             0.00067631,             0.00067631,             0.00067631
                     21,                 1.0522,                0.65287,                 1.0395,                0.74651,                0.75925,                0.77809,                0.40998,                 1.9835,                 1.0411,                  1.561,             0.00066807,             0.00066807,             0.00066807
                     22,                 1.0455,                0.65361,                 1.0479,                 0.7607,                0.75793,                0.78089,                0.41107,                 1.9808,                 1.0381,                 1.5562,             0.00065982,             0.00065982,             0.00065982
                     23,                 1.0423,                0.64631,                  1.044,                0.74499,                0.76516,                0.77905,                0.41154,                 1.9847,                 1.0422,                 1.5608,             0.00065157,             0.00065157,             0.00065157
                     24,                 1.0247,                0.63514,                 1.0413,                0.75602,                0.76313,                 0.7824,                0.41054,                 1.9835,                 1.0423,                 1.5624,             0.00064333,             0.00064333,             0.00064333
                     25,                  1.032,                0.65018,                 1.0374,                0.75682,                0.75579,                0.78018,                0.41159,                 1.9808,                 1.0433,                 1.5611,             0.00063508,             0.00063508,             0.00063508
                     26,                 1.0171,                0.64078,                 1.0281,                0.76458,                0.75122,                0.78163,                0.41007,                 1.9834,                 1.0455,                 1.5616,             0.00062683,             0.00062683,             0.00062683
                     27,                  1.018,                0.63288,                 1.0364,                0.75297,                0.75872,                0.78155,                0.41155,                 1.9836,                 1.0445,                 1.5606,             0.00061859,             0.00061859,             0.00061859
                     28,                0.99516,                0.63227,                 1.0335,                0.75731,                0.76798,                0.78353,                0.40953,                 1.9846,                 1.0397,                 1.5622,             0.00061034,             0.00061034,             0.00061034
                     29,                0.97346,                0.60401,                  1.015,                0.75373,                0.75775,                0.78062,                0.41031,                 1.9831,                 1.0452,                 1.5599,             0.00060209,             0.00060209,             0.00060209
                     30,                0.95592,                0.60446,                 1.0141,                0.74389,                0.76473,                0.77804,                0.40911,                 1.9814,                 1.0439,                 1.5607,             0.00059385,             0.00059385,             0.00059385
                     31,                 1.1053,                0.68306,                 1.0791,                0.75907,                0.74445,                0.77865,                0.41039,                  1.983,                 1.0428,                 1.5596,              0.0005856,              0.0005856,              0.0005856
                     32,                 1.1039,                0.68342,                 1.0766,                0.74911,                0.75914,                0.77822,                0.41057,                  1.981,                 1.0448,                 1.5601,             0.00057735,             0.00057735,             0.00057735
                     33,                 1.1021,                0.68552,                 1.0821,                0.74289,                0.77191,                0.78146,                0.41123,                 1.9847,                 1.0395,                 1.5607,             0.00056911,             0.00056911,             0.00056911
                     34,                 1.1132,                0.69755,                 1.0882,                0.75363,                0.76532,                0.78195,                0.40926,                 1.9834,                 1.0467,                 1.5623,             0.00056086,             0.00056086,             0.00056086
                     35,                 1.1054,                0.68133,                 1.0769,                0.74768,                0.76279,                0.77868,                0.41011,                 1.9841,                 1.0431,                 1.5638,             0.00055261,             0.00055261,             0.00055261
                     36,                 1.1198,                0.68299,                 1.0824,                0.74161,                 0.7661,                0.78123,                0.40942,                 1.9803,                 1.0375,                 1.5569,             0.00054437,             0.00054437,             0.00054437
                     37,                 1.1009,                0.68762,                 1.0754,                0.74815,                0.76338,                0.77954,                 0.4102,                 1.9804,                 1.0416,                 1.5575,             0.00053612,             0.00053612,             0.00053612
                     38,                 1.1001,                0.66616,                 1.0762,                0.75206,                0.76008,                 0.7808,                0.41051,                 1.9813,                 1.0384,                 1.5603,             0.00052787,             0.00052787,             0.00052787
                     39,                 1.1047,                0.68752,                 1.0782,                0.76047,                0.75748,                0.78129,                0.41055,                 1.9854,                 1.0443,                  1.561,             0.00051963,             0.00051963,             0.00051963
                     40,                 1.1201,                0.68888,                 1.0779,                 0.7477,                0.76017,                0.77942,                0.40889,                 1.9822,                 1.0423,                 1.5601,             0.00051138,             0.00051138,             0.00051138
                     41,                 1.1028,                0.68751,                 1.0761,                0.74595,                0.75658,                0.77642,                0.40797,                 1.9822,                 1.0438,                 1.5607,             0.00050313,             0.00050313,             0.00050313
                     42,                 1.1092,                0.69535,                 1.0866,                0.75676,                0.75764,                0.77932,                0.41113,                  1.987,                 1.0441,                 1.5645,             0.00049489,             0.00049489,             0.00049489
