                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3619,                0.96913,                 1.1985,                0.72605,                0.71992,                0.73722,                 0.3646,                 2.0664,                 1.1928,                 1.5158,             0.00027451,             0.00027451,             0.00027451
                      1,                 1.3309,                0.90188,                 1.1757,                0.70615,                0.67934,                0.70823,                0.35688,                 2.0727,                 1.2535,                 1.5722,             0.00054124,             0.00054124,             0.00054124
                      2,                 1.3307,                0.91508,                 1.1905,                0.68934,                0.70198,                0.69234,                0.33749,                 2.0922,                 1.3169,                   1.61,             0.00079698,             0.00079698,             0.00079698
                      3,                 1.3684,                0.93129,                 1.2062,                0.76132,                0.71923,                0.76324,                0.37881,                 1.9936,                 1.2059,                 1.5319,             0.00078352,             0.00078352,             0.00078352
                      4,                 1.3572,                0.91724,                 1.2128,                0.68854,                0.72274,                0.73812,                0.35209,                 2.0945,                 1.2109,                  1.561,             0.00078352,             0.00078352,             0.00078352
                      5,                 1.3943,                0.95187,                 1.2187,                0.69261,                0.69797,                0.71548,                0.35989,                 2.0172,                 1.2284,                 1.5406,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.3749,                0.93488,                 1.2114,                0.69272,                0.71816,                0.72883,                0.36057,                 2.0493,                 1.2176,                 1.5691,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.3505,                0.90945,                 1.2055,                0.71846,                0.68937,                0.70414,                0.34307,                 2.0373,                 1.3368,                 1.5691,             0.00073404,             0.00073404,             0.00073404
                      8,                 1.3446,                0.90927,                 1.1952,                 0.7557,                0.62526,                0.69347,                0.34238,                  2.043,                  1.293,                 1.5179,             0.00071755,             0.00071755,             0.00071755
                      9,                 1.3402,                0.89362,                 1.1938,                0.75043,                0.75427,                0.76068,                0.38273,                 1.9806,                  1.205,                 1.5433,             0.00070105,             0.00070105,             0.00070105
                     10,                 1.3351,                0.90395,                 1.1942,                0.73718,                 0.7347,                0.76395,                0.37427,                 2.0345,                 1.1101,                 1.5543,             0.00068456,             0.00068456,             0.00068456
                     11,                 1.3077,                0.85504,                 1.1795,                0.77974,                0.69682,                0.76035,                0.37937,                 1.9735,                 1.1601,                 1.5215,             0.00066807,             0.00066807,             0.00066807
                     12,                  1.307,                0.87912,                 1.1814,                0.73508,                0.69541,                 0.7426,                 0.3742,                 2.0041,                  1.166,                 1.5285,             0.00065157,             0.00065157,             0.00065157
