                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2306,                 5.1103,                 1.7848,                0.51603,                0.46556,                0.40967,                0.17865,                 2.1418,                 2.8377,                 1.7089,             0.00027296,             0.00027296,             0.00027296
                      1,                 1.9461,                 2.1158,                 1.6003,                0.45321,                0.46338,                0.42157,                0.18201,                 2.2578,                 2.4079,                 1.7576,             0.00054518,             0.00054518,             0.00054518
                      2,                 1.9423,                 1.9284,                 1.6134,                 0.5844,                0.47357,                0.46313,                0.21299,                 2.2491,                 2.6825,                 1.8651,             0.00081189,             0.00081189,             0.00081189
                      3,                 1.9271,                 1.8768,                 1.6084,                0.50669,                0.52793,                0.49965,                0.22282,                 2.1724,                  2.636,                 1.7395,             0.00080826,             0.00080826,             0.00080826
                      4,                 1.9146,                 1.7801,                 1.6038,                0.53223,                0.56099,                0.55639,                0.25164,                 2.2154,                 1.8203,                 1.6821,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.8806,                 1.6496,                 1.5602,                0.56469,                0.61116,                0.57574,                0.25938,                 2.1294,                 1.7147,                 1.6057,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.8422,                 1.6413,                 1.5224,                0.65574,                0.59492,                0.62258,                0.27676,                 2.0559,                 1.7431,                 1.5409,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.7868,                 1.5925,                 1.5175,                0.60822,                0.59492,                0.59721,                0.27504,                 2.0678,                 1.7253,                 1.5821,             0.00078352,             0.00078352,             0.00078352
                      8,                 1.8023,                 1.5889,                 1.5021,                0.63289,                0.51631,                0.56527,                0.27252,                 2.2003,                 1.8918,                 1.6944,             0.00077527,             0.00077527,             0.00077527
                      9,                 1.7691,                  1.533,                 1.4858,                0.54042,                0.72499,                0.67141,                 0.3307,                 1.9667,                 1.4652,                 1.4946,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.7776,                 1.5624,                  1.489,                 0.6998,                0.61634,                0.67306,                  0.313,                 2.0655,                 1.5353,                 1.5098,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.7645,                 1.4853,                 1.4867,                0.59252,                0.56318,                 0.6106,                0.27776,                 2.1053,                 1.8472,                 1.6393,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.7335,                 1.4647,                 1.4628,                0.69398,                0.62756,                0.64191,                0.31519,                 2.0622,                  1.465,                   1.46,             0.00074229,             0.00074229,             0.00074229
                     13,                 1.7151,                 1.4345,                 1.4308,                0.64074,                0.71597,                0.70738,                0.34791,                 1.9865,                 1.4273,                 1.4617,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.7129,                 1.4004,                 1.4399,                0.68566,                0.58675,                0.64781,                0.30561,                 2.0492,                 1.5909,                 1.4931,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.6957,                 1.4007,                 1.4228,                0.71855,                 0.6841,                0.72195,                0.34463,                  1.974,                 1.3639,                 1.4483,             0.00071755,             0.00071755,             0.00071755
                     16,                 1.6941,                 1.3809,                 1.4189,                0.67315,                0.67384,                0.70314,                0.34188,                 1.9602,                 1.4446,                  1.471,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.6744,                 1.3696,                   1.41,                0.70556,                0.72275,                0.73109,                0.33673,                 2.0447,                 1.3922,                 1.4955,             0.00070105,             0.00070105,             0.00070105
                     18,                 1.6786,                 1.3451,                 1.4163,                0.70499,                0.68064,                0.71196,                0.35654,                 1.9876,                 1.4184,                 1.4788,             0.00069281,             0.00069281,             0.00069281
                     19,                 1.6608,                 1.3183,                 1.4066,                0.66868,                0.68197,                0.67894,                0.32513,                 2.0081,                  1.416,                 1.5069,             0.00068456,             0.00068456,             0.00068456
                     20,                 1.6359,                  1.309,                  1.406,                0.75951,                0.64613,                0.71187,                0.33626,                  1.994,                 1.4403,                 1.5064,             0.00067631,             0.00067631,             0.00067631
                     21,                 1.6149,                 1.2974,                 1.3831,                0.65801,                0.66753,                0.69669,                 0.3448,                 1.9503,                 1.3627,                 1.4472,             0.00066807,             0.00066807,             0.00066807
                     22,                 1.6145,                 1.2629,                 1.3637,                 0.7159,                0.69036,                0.72577,                0.35146,                 1.9972,                 1.3883,                 1.4878,             0.00065982,             0.00065982,             0.00065982
                     23,                 1.6389,                 1.2856,                 1.3792,                0.83606,                0.64473,                0.73253,                0.36877,                 1.9238,                 1.3449,                 1.4216,             0.00065157,             0.00065157,             0.00065157
                     24,                 1.6051,                 1.2563,                 1.3607,                0.70525,                0.71258,                0.74314,                  0.363,                 2.0003,                 1.3467,                 1.4874,             0.00064333,             0.00064333,             0.00064333
                     25,                 1.5977,                 1.2201,                 1.3545,                0.76555,                0.63935,                0.71704,                0.36669,                 1.9511,                 1.2931,                 1.4358,             0.00063508,             0.00063508,             0.00063508
                     26,                 1.6114,                 1.2521,                   1.38,                0.75585,                0.64535,                0.69378,                 0.3368,                 2.0234,                 1.3787,                 1.4546,             0.00062683,             0.00062683,             0.00062683
                     27,                 1.5901,                 1.2153,                 1.3606,                0.73854,                0.64468,                0.72005,                0.35917,                 1.9294,                 1.3515,                 1.4085,             0.00061859,             0.00061859,             0.00061859
                     28,                 1.5626,                 1.1958,                 1.3543,                0.72094,                0.67055,                0.72122,                0.35572,                 1.9509,                 1.3357,                 1.4651,             0.00061034,             0.00061034,             0.00061034
                     29,                 1.5674,                 1.1821,                 1.3331,                0.74463,                 0.5996,                0.68912,                0.34531,                 1.9986,                 1.3897,                 1.4908,             0.00060209,             0.00060209,             0.00060209
                     30,                 1.5562,                 1.1696,                 1.3418,                0.73633,                 0.7075,                0.74049,                0.36706,                 1.9499,                 1.2615,                 1.4603,             0.00059385,             0.00059385,             0.00059385
                     31,                 1.5456,                 1.1324,                 1.3298,                0.76143,                0.65331,                0.72283,                0.34558,                  2.018,                 1.2802,                 1.4645,              0.0005856,              0.0005856,              0.0005856
                     32,                  1.539,                 1.1428,                  1.334,                0.79757,                0.65752,                0.75477,                0.37673,                 1.9479,                 1.2594,                 1.4316,             0.00057735,             0.00057735,             0.00057735
                     33,                  1.552,                 1.1629,                  1.333,                0.68522,                0.69572,                0.72626,                0.37029,                  1.928,                 1.2594,                 1.4545,             0.00056911,             0.00056911,             0.00056911
